heading,content_summary,article_link,img_link,month_date,time,Year,heading_len,word_count,avg_word_len
 uttarakhand man 39 held for killing constable’s wife in haldwani , Nainital district police on Monday arrested a man from Kichha in US Nagar for murdering a police constable’s wife in Haldwani on November 3 ,https://timesofindia.indiatimes.com/city/dehradun/uttarakhand-man-39-held-for-killing-constables-wife-in-haldwani/articleshow/95370204.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-95370204,width-300,resizemode-4/95370204.jpg",Nov 08,09:55,2022,69,10,5.8
 nashik city another theft from parked car seventh case in 4 days , Thefts from parked cars continues in the city as the seventh such case was registered in four days with the police on Sunday On the complaint the Indiranagar police have registered an FIR for the offence punishable under section 379 punishment for theft of the Indian Penal Code ,https://timesofindia.indiatimes.com/city/nashik/nashik-city-another-theft-from-parked-car-seventh-case-in-4-days/articleshow/95368457.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-95368457,width-300,resizemode-4/95368457.jpg",Nov 08,08:25,2022,68,12,4.583333333333333
 pune externed criminal jumps from bus fearing cops car runs over him , An externed criminal died in the early hours of Sunday as he jumped from a rear window of a stationary private luxury bus and landed in front of a car fearing arrest after police came to resolve a dispute between the passengers and the bus staffers at Shivdarshan Chowk on the PuneSolapur highway ,https://timesofindia.indiatimes.com/city/pune/pune-externed-criminal-jumps-from-bus-fearing-cops-car-runs-over-him/articleshow/95366308.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-95366308,width-300,resizemode-4/95366308.jpg",Nov 08,05:17,2022,72,12,4.916666666666667
 gaya woman burned alive on suspicion of witchcraft , A middleaged woman was badly thrashed and burned alive in her house at village Panchmah under Maigra police station area in Gaya district on Saturday afternoon for allegedly practising witchcraft ,https://timesofindia.indiatimes.com/city/patna/gaya-woman-burned-alive-on-suspicion-of-witchcraft/articleshow/95328044.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-95328044,width-300,resizemode-4/95328044.jpg",Nov 06,05:24,2022,52,8,5.375
 man held on charge of stalking in pune , A man 33 was arrested on Tuesday from Khed taluka on the charge of stalking a 28yearold woman from his neighbouring village for the past two years and damaging her two vehiclesThe woman on Tuesday filed a complaint ,https://timesofindia.indiatimes.com/city/pune/man-held-on-charge-of-stalking/articleshow/95266582.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-95266582,width-300,resizemode-4/95266582.jpg",Nov 03,08:32,2022,40,8,3.875
 pune victims of two street robberies team up chase  nab criminal , Two victims of armed assault and backtoback midnight street robberies by a bikeborne duo chased and managed to apprehend the pillion rider a criminal on police record in the Kondhwa area before handing him over to the police Around 12 ,https://timesofindia.indiatimes.com/city/pune/victims-of-two-street-robberies-team-up-chase-nab-criminal/articleshow/95266517.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-95266517,width-300,resizemode-4/95266517.jpg",Nov 03,08:30,2022,69,12,4.666666666666667
 pune three rob injured man of cash goods worth rs 56000 , Three men robbed an injured road accident victim of cash a cellphone and his motorcycle totally worth Rs 56000 in the ghat section near Khed on October 26 The Pune rural police on Tuesday tracked and arrested the trio and recovered the stolen bike ,https://timesofindia.indiatimes.com/city/pune/pune-three-rob-injured-man-of-cash-goods-worth-rs-56000/articleshow/95264348.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-95264348,width-300,resizemode-4/95264348.jpg",Nov 03,05:29,2022,60,11,4.363636363636363
 up gang had spent rs 1 crore in executing heist , Five miscreants including two masterminds of the Cooperative Bank fraud case in which Rs 146 crore was digitally transferred by hackers were arrested by STF on Tuesday ,https://timesofindia.indiatimes.com/city/lucknow/up-gang-had-spent-rs-1-crore-in-executing-heist/articleshow/95241249.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-95241249,width-300,resizemode-4/95241249.jpg",Nov 02,07:18,2022,50,10,3.9
 madhya pradesh fouryearold raped abandoned in khandwa found 14 hours later , A fouryearold girl was abducted from a hut and raped by a man in Jaswadi village of Khandwa district in the early hours of Monday The 38yearold accused strangled her and threw her in bushes She was rescued after the police arrested the accused and extracted a confession out of him on Monday night  14 hours after she was left to die Police suspect the involvement of another man in the crime ,https://timesofindia.indiatimes.com/city/indore/madhya-pradesh-four-year-old-raped-abandoned-in-khandwa-found-14-hours-later/articleshow/95227532.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-95227532,width-300,resizemode-4/95227532.jpg",Nov 01,14:44,2022,81,11,6.2727272727272725
 mumbai cops register sexual harassment case against education trust chief , Police have registered a case on charges of sexual harassment and atrocities against the chairman of an educational trust in south Mumbai following a complaint by a woman teacher official said on Monday No arrest has been made so far he said ,https://timesofindia.indiatimes.com/city/mumbai/mumbai-cops-register-sexual-harassment-case-against-education-trust-chief/articleshow/95199896.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-95199896,width-300,resizemode-4/95199896.jpg",Oct 31,14:09,2022,75,10,6.4
 cops raid banquet hall in west delhi 7 women among 29 arrested for gambling , As many as 29 people including seven women and businessmen were arrested from a banquet hall in west Delhi allegedly for gambling Police seized more than Rs 58 lakh from the accused ,https://timesofindia.indiatimes.com/city/delhi/cops-raid-banquet-hall-in-w-delhi-7-women-among-29-arrested-for-gambling/articleshow/95055010.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-95055010,width-300,resizemode-4/95055010.jpg",Oct 24,04:43,2022,78,14,4.5
 delhi man his friend kill youth for talking to girfriend dump his body in sewer , Two people have been arrested for allegedly killing a 22year old man and dumping his body in a sewer One of the accused did not like him speaking to his girlfriend The incident unfolded after the man went missing from Gaffar market area where he worked at a mobile accessory shop ,https://timesofindia.indiatimes.com/city/delhi/man-his-friend-kill-youth-for-talking-to-girfriend-dump-his-body-in-sewer/articleshow/95107158.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-95107158,width-300,resizemode-4/95107158.jpg",Oct 27,04:12,2022,84,15,4.533333333333333
 delhi kin allege murder polygraph tests match friends’ claim youth fell off terrace  died , Over three months after a 25yearold man was found dead in Rohini in mysterious circumstances the polygraph tests conducted on his four friends have suggested that Rohit indeed did fall the threestorey building on the night of July 17 said police ,https://timesofindia.indiatimes.com/city/delhi/kin-allege-murder-polygraph-tests-match-friends-claim-youth-fell-off-terrace-died/articleshow/95107053.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-95107053,width-300,resizemode-4/95107053.jpg",Oct 27,04:04,2022,94,15,5.2
 man arrested for killing nephew in dombivli , A 31yearold man has been arrested for allegedly killing his nephew using knife in Dombivlii on Sunday late night ,https://timesofindia.indiatimes.com/city/thane/man-arrested-for-killing-nephew-in-dombivli/articleshow/95073332.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-95073332,width-300,resizemode-4/95073332.jpg",Oct 25,11:13,2022,45,7,5.285714285714286
 aurangabad two destitute murdered near gmch , Two destitute residing on the footpath outside Government Medical College and Hospital GMCH Aurangabad were found murdered sometime in the early hours of Monday ,https://timesofindia.indiatimes.com/city/aurangabad/aurangabad-2-destitute-murdered-near-gmch/articleshow/95368934.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-95368934,width-300,resizemode-4/95368934.jpg",Nov 08,08:41,2022,46,6,6.5
 ambergris worth rs 2 crore seized in kolhapur 3 arrested , The local crime branch LCB of Kolhapur police on Monday arrested three people with around 2kg of ambergris also known as whale vomit worth a little over Rs 2 crore The arrest was made by police after laying a trap near the Central bus stand area in Kolhapur ,https://timesofindia.indiatimes.com/city/kolhapur/ambergris-worth-2cr-seized-in-kolhapur-3-arrested/articleshow/95368817.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-95368817,width-300,resizemode-4/95368817.jpg",Nov 08,08:37,2022,59,10,4.8
 pune duo commit jewellery robberies worth rs 21 lakh , In backtoback incidents in Vadgaon Budruk and Pashan between 1030am and 12pm on Saturday two men cheated two elderly women of their gold ornaments collectively worth Rs214 lakh after luring them with an expensive gift bait ,https://timesofindia.indiatimes.com/city/pune/duo-commit-jewellery-robberies-worth-2-1l/articleshow/95368669.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-95368669,width-300,resizemode-4/95368669.jpg",Nov 08,08:33,2022,56,9,5.111111111111111
 techie loses rs 10 lakh to forex investment fraud in pune , A software engineer 37 from Gahunje was duped by fraudsters of Rs1017 lakh on the promise of handsome returns on investment in the capital market and in forexThe techie made the investment in phases through money transfers between August 22 and September 9 ,https://timesofindia.indiatimes.com/city/pune/techie-loses-10-lakh-to-forex-investment-fraud/articleshow/95368653.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-95368653,width-300,resizemode-4/95368653.jpg",Nov 08,08:32,2022,59,11,4.2727272727272725
 man held for attempt to molest 7yearold in vijayawada , Disha police on Monday arrested a 45yearold man for sexual assault attempt on a sevenyearold girl at Old Rajeshwaripet in Vijayawada The man will be produced before the court on Tuesday ,https://timesofindia.indiatimes.com/city/vijayawada/man-held-for-attempt-to-molest-7-year-old-in-vij/articleshow/95368350.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-95368350,width-300,resizemode-4/95368350.jpg",Nov 08,08:21,2022,57,9,5.222222222222222
 mumbai social media friend molests minor arrested , An 18yearold man was arrested by the crime branch on Monday on charges of abduction and molestation of an underage girl The two teenagers got acquainted with one another online the police said ,https://timesofindia.indiatimes.com/city/mumbai/mumbai-social-media-friend-molests-minor-arrested/articleshow/95367194.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-95367194,width-300,resizemode-4/95367194.jpg",Nov 08,07:14,2022,53,7,6.428571428571429
 mumbai tenant who knifed his landlady in borivli held , A 34yearold man was arrested by the Borivli police for knifing his landlady following a financial dispute Investigators said he did not try to flee after the incident and stayed put in the same premises from where he was arrested ,https://timesofindia.indiatimes.com/city/mumbai/mumbai-tenant-who-knifed-his-landlady-in-borivli-held/articleshow/95367125.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-95367125,width-300,resizemode-4/95367125.jpg",Nov 08,07:07,2022,56,9,5.111111111111111
 maharashtra woman found strangled in kalyan her partner missing , A 37yearold woman was found strangled at a rented home in Kalyan on Monday A man Vicky Devkate 38 with whom she had taken the house on rent in a chawl in Nevali village is nowhere to be found the police said ,https://timesofindia.indiatimes.com/city/thane/maharashtra-woman-found-strangled-in-kalyan-her-partner-missing/articleshow/95366951.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-95366951,width-300,resizemode-4/95366951.jpg",Nov 08,06:41,2022,67,9,6.333333333333333
 maharashtra 20 men hack teen to death try to murder another , A 19yearold college student was hacked to death by a gang of about 20 youngsters on Sunday night at an open ground in Talegaon Dabhade Soon after that the gang tried to murder another youth the same night in an unrelated incident The police have registered separate FIRs in these incidents ,https://timesofindia.indiatimes.com/city/pune/maharashtra-20-men-hack-teen-to-death-try-to-murder-another/articleshow/95366297.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-95366297,width-300,resizemode-4/95366297.jpg",Nov 08,05:11,2022,63,11,4.636363636363637
 delhi police arrest 3 of gang which robbed people with sleeping pills , Three members of Zeher Khurani gang known for robbing people after sedating them with sleeping pills have been arrested police said on Monday Kamal Singh 34 Pawan 32 and Gourav 30 were based in Seelampur area of east Delhi they said ,https://timesofindia.indiatimes.com/city/delhi/delhi-police-arrest-3-of-gang-which-robbed-people-with-sleeping-pills/articleshow/95357015.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-95357015,width-300,resizemode-4/95357015.jpg",Nov 07,16:17,2022,71,12,4.833333333333333
 delhi 34yearold shot at during robbery bid , A 34yearold man was shot at by two men in a robbery bid in northeast Delhis Karawal Nagar on Friday The victim Saurabh Kumar runs a grocery shop on Main Loni road ,https://timesofindia.indiatimes.com/city/delhi/delhi-34-year-old-shot-at-during-robbery-bid/articleshow/95044799.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-95044799,width-300,resizemode-4/95044799.jpg",Oct 23,12:00,2022,47,7,5.571428571428571
 delhi 40yearold stalker blackmails woman and sister arrested , A 40yearold BSc computer science graduate was arrested for allegedly blackmailing and harassing a woman The accused was sending the woman messages and emails and uploading her photographs on Instagram without her consent He had demanded Rs seven lakh from the woman for deleting the photos ,https://timesofindia.indiatimes.com/city/delhi/delhi-40-year-old-stalker-blackmails-woman-and-sister-arrested/articleshow/95043709.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-95043709,width-300,resizemode-4/95043709.jpg",Oct 23,10:56,2022,66,8,7.125
 four held for burglary at delhis greater kailash enclave house , Four men have been arrested for their alleged involvement in stealing jewellery worth Rs 50 lakh from a house in south Delhis Greater Kailash Enclave police said ,https://timesofindia.indiatimes.com/city/delhi/four-held-for-burglary-at-delhis-greater-kailash-enclave-house/articleshow/95348279.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-95348279,width-300,resizemode-4/95348279.jpg",Nov 07,10:38,2022,65,10,5.4
 5 women hurt in up canecharge as cops come under attack , A crowd comprising women clashed with cops and local administration in Ambedkarnagar on Sunday The cops canecharged them after they allegedly manhandled them ,https://timesofindia.indiatimes.com/city/lucknow/5-women-hurt-in-up-cane-charge-as-cops-come-under-attack/articleshow/95346085.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-95346085,width-300,resizemode-4/95346085.jpg",Nov 07,08:38,2022,58,11,4.181818181818182
 lucknow chief forest conservator duped of rs 12 lakh in phishing attack , In yet another phishing attack by cyber miscreants chief conservator of forest was duped on pretext of updating electricity billA cyber thug conned Chief Forest Conservator Deepak Kumar of Rs 1 ,https://timesofindia.indiatimes.com/city/lucknow/chief-forest-conservator-duped-of-1-2-lakh-in-phishing-attack/articleshow/95346021.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-95346021,width-300,resizemode-4/95346021.jpg",Nov 07,08:36,2022,75,12,5.166666666666667
 honour killing in up man kills minor sister  her boyfriend surrenders , In an alleged case of honour killing a 25yearold man murdered his 16yearold sister and her 24yearold boyfriend by slitting their throats in village Rajeypur Saraimedha under Kamalganj police station of Farrukhanad on Sunday morning He then threw the bodies in a drain ,https://timesofindia.indiatimes.com/city/agra/honour-killing-man-kills-minor-sister-her-boyfriend-surrenders/articleshow/95345977.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-95345977,width-300,resizemode-4/95345977.jpg",Nov 07,08:34,2022,74,12,5.083333333333333
 18yearold former staffer arrested for triple murder in delhi , Days after a businessman his wife and their maid were murdered in west Delhis Hari Nagar police on Sunday arrested an 18yearold former employee Amit Mehto alias Anil and his associate Saurabh 20 from Bihar They used to reside in Dwarka ,https://timesofindia.indiatimes.com/city/delhi/18-year-old-former-staffer-arrested-for-triple-murder-in-delhi/articleshow/95345646.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-95345646,width-300,resizemode-4/95345646.jpg",Nov 07,08:24,2022,64,9,6.0
 noida house help flees with cash  jewellery held , A 28yearold woman was arrested on Saturday for allegedly stealing cash and jewellery worth Rs 7 lakh from the flat of her employer in Purvanchal Royal Park in Sector 137 over a period of two months ,https://timesofindia.indiatimes.com/city/noida/noida-house-help-flees-with-cash-jewellery-held/articleshow/95344545.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-95344545,width-300,resizemode-4/95344545.jpg",Nov 07,07:10,2022,53,9,4.777777777777778
 ghaziabad bullet pierces throat of 18yearold making reel family alleges murder , An 18yearold youth who had left home saying he was going to make a social media reel died after a bullet pierced his throat on Saturday evening ,https://timesofindia.indiatimes.com/city/ghaziabad/ghaziabad-bullet-pierces-throat-of-18-year-old-making-reel-family-alleges-murder/articleshow/95344479.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-95344479,width-300,resizemode-4/95344479.jpg",Nov 07,07:01,2022,84,11,6.545454545454546
 uttarakhand didihat shopkeeper 55 beaten to death after dispute over rs 30 wife critical , A 55yearold shopkeeper was allegedly beaten to death after an argument over Rs 30 turned violent in Pithoragarhs Didihat area on Saturday The accused has been arrested said police The shopkeeper Prahlad Singh was a resident of Nanpapo village His wife was also injured in the incident when she tried to intervene ,https://timesofindia.indiatimes.com/city/dehradun/uttarakhand-didihat-shopkeeper-55-beaten-to-death-after-dispute-over-rs-30-wife-critical/articleshow/95343848.cms,"https://static.toiimg.com/thumb/imgsize-123456,msid-95343848,width-300,resizemode-4/95343848.jpg",Nov 07,05:28,2022,94,14,5.642857142857143
